Species,Host,Year,Location,Region,Haplogroup,GROUP,coord.X,coord.Y,Coord.type,Description,Source
V. destructor,A. mellifera,2016?,Cameroon,Ekuijua,VD_Korea_K1,VD_K_type,6.33059,10.29085,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Kaigama,VD_Korea_K1,VD_K_type,4.4583,13.62112,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Kumbo,VD_Korea_K1,VD_K_type,6.20112,10.69774,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Kumbo1,VD_Korea_K1,VD_K_type,6.2232,10.68106,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Kumbo2,VD_Korea_K1,VD_K_type,6.20772,10.69884,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Laikom,VD_Korea_K1,VD_K_type,6.28586,10.34344,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Meveo,VD_Korea_K1,VD_K_type,4.11218,9.23868,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Ngaoundere,VD_Korea_K1,VD_K_type,7.33814,13.56683,approximate,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Ngolemakon,VD_Korea_K1,VD_K_type,3.08313,11.42539,approximate,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Njinikijim,VD_Korea_K1,VD_K_type,6.1576,10.34155,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Oku,VD_Korea_K1,VD_K_type,6.24181,10.5317,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Tombel1,VD_Korea_K1,VD_K_type,4.74998,9.66188,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Tombel2,VD_Korea_K1,VD_K_type,4.75303,9.67373,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,1998?,Canada,British Columbia,VD_Korea_K1,VD_K_type,49.260199,-123.245964,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Nova Scotia,VD_Japan_J1,VD_Japan_J1,44.68198,-63.74431,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Nova Scotia,VD_Korea_K1,VD_K_type,44.68198,-63.74431,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Nova Scotia,COMBINED,KoreaJapan,44.68198,-63.74431,approximate,Year:1998? Ref:de Guzman et al. (1999),
V. destructor,A. mellifera,1998?,Canada,Ontario,VD_Japan_J1,VD_Japan_J1,43.945787,-78.8969,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Ontario,VD_Korea_K1,VD_K_type,43.945787,-78.8969,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Ontario,COMBINED,KoreaJapan,43.945787,-78.8969,approximate,Year:1998? Ref:de Guzman et al. (1999),
V. destructor,A. mellifera,2005?,Chile,Futrono 1,VD_Japan_J1,VD_Japan_J1,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 1,VD_Korea_K1,VD_K_type,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 1,COMBINED,KoreaJapan,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),
V. destructor,A. mellifera,2005?,Chile,Futrono 2,VD_Japan_J1,VD_Japan_J1,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 2,VD_Korea_K1,VD_K_type,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 3,VD_Japan_J1,VD_Japan_J1,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 3,VD_Korea_K1,VD_K_type,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,La Union,COMBINED,KoreaJapan,-40.295596,-73.080017,approximate,Year:2005? Ref:Solignac et al. (2005),
V. destructor,A. mellifera,2005?,Chile,La Union 1,VD_Korea_K1,VD_K_type,-40.295596,-73.080017,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,La Union 2,VD_Japan_J1,VD_Japan_J1,-40.295596,-73.080017,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,La Union 2,VD_Korea_K1,VD_K_type,-40.295596,-73.080017,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Santiago 1,VD_Korea_K1,VD_K_type,-33.449608,-70.680169,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Santiago 2,VD_Korea_K1,VD_K_type,-33.449608,-70.680169,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Vladivia 1,VD_Korea_K1,VD_K_type,-39.81565,-73.247284,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Vladivia 2,VD_Japan_J1,VD_Japan_J1,-39.81565,-73.247284,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Vladivia 2,VD_Korea_K1,VD_K_type,-39.81565,-73.247284,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Vladivia 2,COMBINED,KoreaJapan,-39.81565,-73.247284,approximate,Year:2005? Ref:Solignac et al. (2005),
V. destructor,A. mellifera,2005?,Chile,Vladivia 3,VD_Korea_K1,VD_K_type,-39.81565,-73.247284,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,China,Beijing,VD_Korea_K1,VD_K_type,39.871519,116.479476,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2000,China,"Chifeng, Inner Mongolia",VD_Korea_K1,VD_K_type,43.50547,121.64639,approximate,Year:2000 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2000-2001,China,"Fengman, Lishu Co., Changchun, Jilin  Prov.",VD_Korea_K1,VD_K_type,42.89776,128.14283,approximate,Year:2000-2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Fuzhou, Nanjing Co., Fujian Prov.",VD_Korea_K1,VD_K_type,26.65246,118.32837,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Gangu Co., Gansu Prov.",VD_Korea_K1,VD_K_type,38.29259,102.12454,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Guiyang, Guizhou Prov.",VD_Korea_K1,VD_K_type,27.19536,107.46825,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Hangzhou, Yiwu, Dongyang Co.,  Zhejiang Prov.",VD_Korea_K1,VD_K_type,29.54437,120.34273,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,Heilongjiang Prov.,VD_Korea_K1,VD_K_type,46.46743,131.72395,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Huangshan, Anhui Prov.",VD_Korea_K1,VD_K_type,32.23438,117.09983,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2000,China,"Institute of Apic Res., Beijing",VD_Korea_K1,VD_K_type,40.31239,116.29369,approximate,Year:2000 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Ji’an Co., Jiangxi Prov.",VD_Korea_K1,VD_K_type,28.48153,116.45835,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Mianzhu Co., Sichuan Prov.",VD_Korea_K1,VD_K_type,31.33807,104.22073,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2002,China,"Mongzi Co., Yunnan Prov.",VD_Korea_K1,VD_K_type,23.39207,103.36542,approximate,Year:2002 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2019,China,NA,VD_Korea_K1,VD_K_type,23.13,113.29,exact,Year: 2019 Accession: MN551178,NCBI
V. destructor,A. mellifera,2004,China,"Nanchang, Jiangxi Prov.",VD_Korea_K1,VD_K_type,28.68289,115.85819,approximate,Year:2004 Ref:Navajas et al. (2010),Litterature
V. destructor,A. mellifera,2001,China,"Nanjin, Xuzhou, Liuhe Co., Jiangsu  Prov.",VD_Korea_K1,VD_K_type,33.661,119.62975,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2002,China,Xinjiang Autonomous Region.,VD_Korea_K1,VD_K_type,43.78345,87.61304,approximate,Year:2002 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2002,China,"Xishuanbanna, Yunnan Prov.",VD_Korea_K2,VD_K_type,25.1014,102.35185,approximate,Year:2002 Ref:Navajas et al. (2010),Litterature
V. destructor,A. mellifera,2001,China,"Xishuangbann, Yunnan Prov.",VD_Korea_K1,VD_K_type,23.0652,100.6207,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2002,China,"Yuanjiang, Hunan Prov.",VD_Korea_K1,VD_K_type,27.94781,112.39087,approximate,Year:2002 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Yuci, Shanxi Prov.",VD_Korea_K1,VD_K_type,37.66302,111.65369,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2001,China,"Zhongshan, Guangdong Prov.",VD_Korea_K1,VD_K_type,24.03474,113.07061,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. mellifera,2019,China ,"apiary of Guangdong Institute of Applied Biological Resources, Guangzhou",VD_Korea_K1,VD_K_type,23.13,113.29,exact,Year:2019 Ref:Li et al. (2019),Litterature
V. destructor,A. mellifera,2005?,France,Alsace,VD_Korea_K1,VD_K_type,48.31817,7.44162,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,France,Ardeche,VD_Korea_K1,VD_K_type,44.635608,4.259207,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,France,Avignon,VD_Korea_K1,VD_K_type,43.914616,4.87819,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,France,Cevennes,VD_Korea_K1,VD_K_type,44.26415,3.7122,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,France,Charente,VD_Korea_K1,VD_K_type,45.636678,0.140221,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2002,France,INRA Zoology at Avignon,VD_Korea_K1,VD_K_type,43.91532,4.878364,approximate,Year:2002 Ref:Navajas et al. (2002),Litterature
V. destructor,A. mellifera,2005?,France,Orne,VD_Korea_K1,VD_K_type,48.63885,0.08482,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,France,Sarthe,VD_Korea_K1,VD_K_type,47.9217,0.16558,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,French Guiana,Sinnamary,VD_Japan_J1,VD_Japan_J1,5.37467,-52.95459,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,French Guiana,Sinnamary,VD_Korea_K1,VD_K_type,5.37467,-52.95459,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,French Guiana,Sinnamary,COMBINED,KoreaJapan,5.37467,-52.95459,approximate,Year:2005? Ref:Solignac et al. (2005),
V. destructor,A. mellifera,2001,Germany,Hohenheim University Campus,VD_Korea_K1,VD_K_type,48.711556,9.21095,approximate,Year:2001 Ref:Garrido et al. (2003),Litterature
V. destructor,A. mellifera,1996,Germany,Oberursel,VD_Korea_K1,VD_K_type,50.217636,8.548381,approximate,Year:1996 Ref:Anderson and Fuchs (1998),Litterature
V. destructor,A. mellifera,1996,Germany,Oberursel,VD_Korea_K1,VD_K_type,50.217636,8.548381,approximate,Year:1996 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. mellifera,1996,Germany,Oberusel,VD_Korea_K1,VD_K_type,50.217636,8.548381,approximate,Year:1996 Ref:de Guzman et al. (1997),Litterature
V. destructor,A. mellifera,1999-2001,Greece,Thessaloniki,VD_Korea_K1,VD_K_type,40.62,22.95333333,exact,Year:1999-2001 Ref:Kokkinis and Liakos (2004),Litterature
V. destructor,A. mellifera,1995,Indonesia,"Irian Jaya, Biak island",VD_Korea_K1,VD_K_type,-1.175351,136.071908,approximate,Year:1995 Ref:Anderson and Fuchs (1998),Litterature
V. destructor,A. mellifera,1995,Indonesia,"Irian Jaya, Yapen island",VD_Korea_K1,VD_K_type,-1.87801,136.23666,approximate,Year:1995 Ref:Anderson and Fuchs (1998),Litterature
V. destructor,A. mellifera,1996,Indonesia,"Java, Bogor",VD_Korea_K1,VD_K_type,-6.59356,106.800858,approximate,Year:1996 Ref:Anderson and Fuchs (1998),Litterature
V. destructor,A. mellifera,1994,Indonesia,"Java, Pati",VD_Korea_K1,VD_K_type,-6.74496,111.04604,approximate,Year:1994 Ref:Anderson and Fuchs (1998),Litterature
V. destructor,A. mellifera,1995,Indonesia,"Java, Pekalongan",VD_Korea_K1,VD_K_type,-6.895258,109.673911,approximate,Year:1995 Ref:Anderson and Fuchs (1998),Litterature
V. destructor,A. mellifera,1993;1997,Indonesia,"Java, Sukabumi",VD_Korea_K1,VD_K_type,-6.92387,106.93156,approximate,Year:1993;1997 Ref:Anderson and Fuchs (1998),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Astara,VD_Korea_K1,VD_K_type,38.42245,48.86871,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Birjand,VD_Korea_K1,VD_K_type,32.8649,59.22624,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Bojnourd,VD_Korea_K1,VD_K_type,37.4702,57.31433,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Chabahar,VD_Korea_K1,VD_K_type,25.29687,60.64592,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Dalgan,VD_Korea_K1,VD_K_type,27.5088,59.333,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Divandarreh,VD_Korea_K1,VD_K_type,35.91365,47.02668,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Eshtehard,VD_Korea_K1,VD_K_type,35.72438,50.36617,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Hashtgerd,VD_Korea_K1,VD_K_type,35.96137,50.68456,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Kelachay,VD_Korea_K1,VD_K_type,37.07745,50.39723,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Khalkhal,VD_Korea_K1,VD_K_type,37.62054,48.53302,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Khansar,VD_Korea_K1,VD_K_type,33.28116,50.31722,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Marivan,VD_Korea_K1,VD_K_type,35.52109,46.17568,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Mashhad,VD_Korea_K1,VD_K_type,36.26046,59.61675,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Najafabad,VD_Korea_K1,VD_K_type,32.63242,51.36799,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Namin,VD_Korea_K1,VD_K_type,38.42445,48.47824,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Neyshabur,VD_Korea_K1,VD_K_type,36.21408,58.79609,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Rudsar,VD_Korea_K1,VD_K_type,37.13784,50.28361,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Sabalan,VD_Korea_K1,VD_K_type,38.266946,47.836808,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Sanandaj,VD_Korea_K1,VD_K_type,35.32187,46.98616,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Sari,VD_Korea_K1,VD_K_type,36.56587,53.05863,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Sepahan,VD_Korea_K1,VD_K_type,32.55282,51.66762,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Shahr-e-rey,VD_Korea_K1,VD_K_type,35.57704,51.46246,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Shahreza,VD_Korea_K1,VD_K_type,32.0081,51.86283,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Shahriar,VD_Korea_K1,VD_K_type,35.67067,51.02275,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Shirvan,VD_Korea_K1,VD_K_type,37.40923,57.92761,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Taleghan,VD_Korea_K1,VD_K_type,36.17482,50.76504,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Talesh,VD_Korea_K1,VD_K_type,37.80165,48.90713,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),Zahedan,VD_Korea_K1,VD_K_type,29.45192,60.88419,approximate,Year:2015-2016 Ref:Farjamfar et al. (2018),Litterature
V. destructor,A. mellifera,2005?,Israel,Bet Degan,VD_Korea_K1,VD_K_type,32.00178,34.8297,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2018,Japan,Fukushima,VD_Korea_K1,VD_K_type,37.683701,140.453621,approximate,Year:2018 Ref:Ogihara et al. (2020),Litterature
V. destructor,A. mellifera,2018,Japan,Hokkaido,VD_Korea_K1,VD_K_type,43.07785,141.339214,approximate,Year:2018 Ref:Ogihara et al. (2020),Litterature
V. destructor,A. mellifera,2005?,Japan,Machida,VD_Japan_J1,VD_Japan_J1,35.54663,139.43861,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Japan,Machida,VD_Korea_K1,VD_K_type,35.54663,139.43861,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Japan,Machida,COMBINED,KoreaJapan,35.54663,139.43861,approximate,Year:2005? Ref:Solignac et al. (2005),
V. destructor,A. mellifera,2005?,Japan,Noda,VD_Japan_J1,VD_Japan_J1,35.917735,139.90985,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
